question_url,question_text,title,question_html,section,answer_html,answer_text
http://www.tiku.cn/q/753027.html,            题目:            冶炼某种金属可以用旧设备和改造后的新设备，为了检验用这两种设备生产的产品中所含杂质的关系，调查结果如表所示：根据以上数据试判断含杂质的高低与设备改造有无关系？        ,3、变量间的相关关系,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""见解析""><img src=""http://tiku.cn/Public/Uploads/img/20141230/201412301548353465.png""><span style=""clear:both;"" class=""clearfix""></span><span class=""uc_q_object"">冶炼某种金属可以用旧设备和改造后的新设备，为了检验用这两种设备生产的产品中所含杂质的关系，调查结果如表所示：<br>根据以上数据试判断含杂质的高低与设备改造有无关系？</span></div><img src=""http://tiku.cn/Public/Uploads/img/20141230/201412301548353465.png""><span style=""clear:both;"" class=""clearfix""></span><span class=""uc_q_object"">冶炼某种金属可以用旧设备和改造后的新设备，为了检验用这两种设备生产的产品中所含杂质的关系，调查结果如表所示：<br>根据以上数据试判断含杂质的高低与设备改造有无关系？</span><br>",第2章 统计,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/764838.html,            题目:            已知命题p：∀x∈R，x2-x+1＞0，则命题￢p 是_____ ．        ,3、简单的逻辑联结词,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""∃x∈R，x&lt;sup&gt;2&lt;/sup&gt;-x+1≤0""><span class=""uc_q_object"">已知命题p：∀x∈R，x</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""uc_q_object"">-x+1＞0，则命题￢p 是</span><u>_____</u> <span class=""uc_q_object"">．</span></div><span class=""uc_q_object"">已知命题p：∀x∈R，x</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""ucqo_script_front""></span><sup>2</sup><span class=""uc_q_object"">-x+1＞0，则命题￢p 是</span><u>_____</u><span class=""uc_q_object"">．</span>",第1章 常用逻辑用语,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/735252.html,            题目:            已知点（1，1）在圆x2+y2+4mx-2y+5m=0外，则实数m的取值范围是＜m＜14．        ,1、圆的方程,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""见解析""><span class=""uc_q_object"">已知点（1，1）在圆x</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""uc_q_object"">+y</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""uc_q_object"">+4mx-2y+5m=0外，则实数m的取值范围是</span><div class=""uc_q_object uc_q_fraction ucqo_g_solution ucqo_g_blank""><div class=""ucqo_frac""><span class=""ucqo_frac_integer"">＜m＜</span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">1</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table></div></div><span class=""uc_q_object"">．</span></div><span class=""uc_q_object"">已知点（1，1）在圆x</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""ucqo_script_front""></span><sup>2</sup><span class=""uc_q_object"">+y</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""ucqo_script_front""></span><sup>2</sup><span class=""uc_q_object"">+4mx-2y+5m=0外，则实数m的取值范围是</span><div class=""uc_q_object uc_q_fraction ucqo_g_solution ucqo_g_blank""><div class=""ucqo_frac""><span class=""ucqo_frac_integer"">＜m＜</span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">1</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table></div></div><div class=""ucqo_frac""><span class=""ucqo_frac_integer"">＜m＜</span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">1</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table></div><span class=""ucqo_frac_integer"">＜m＜</span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">1</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table><tr><td class=""ucqo_frac_numerator"">1</td></tr><td class=""ucqo_frac_numerator"">1</td><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td><span class=""uc_q_object"">．</span>",第4章 圆与方程,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/665333.html,            题目:            下列四个集合中，是空集的是_____                                             									A.{x|x+3=3}									B.{（x，y）|y2=-x2，x，y∈R}                                    C.{x|x2-x+1=0，x∈R}                                    D.{x|x2≤0}                                                                                            ,1、集合,"<span class=""detailq"">题目:</span><span class=""uc_q_object"">下列四个集合中，是空集的是</span><u>_____</u><div class=""quesborder"">                    <ul><!--                        <li style=""width:100%"" >A.{x|x+3=3}</li>                        <li style=""width:100%"" >B.{（x，y）|y2=-x2，x，y∈R}</li>                        <li style=""width:100%"" >C.{x|x2-x+1=0，x∈R}</li>                        <li style=""width:100%"" >D.{x|x2≤0}</li>-->									<li style=""width:100%;"">A.{x|x+3=3}</li>									<li style=""width:100%;"">B.{（x，y）|y2=-x2，x，y∈R}</li>                                    <li style=""width:100%;"">C.{x|x2-x+1=0，x∈R}</li>                                    <li style=""width:100%;"">D.{x|x2≤0}</li>                        <li class=""cl"">                    </ul>                    <div class=""cl""></div>                </div><ul><!--                        <li style=""width:100%"" >A.{x|x+3=3}</li>                        <li style=""width:100%"" >B.{（x，y）|y2=-x2，x，y∈R}</li>                        <li style=""width:100%"" >C.{x|x2-x+1=0，x∈R}</li>                        <li style=""width:100%"" >D.{x|x2≤0}</li>-->									<li style=""width:100%;"">A.{x|x+3=3}</li>									<li style=""width:100%;"">B.{（x，y）|y2=-x2，x，y∈R}</li>                                    <li style=""width:100%;"">C.{x|x2-x+1=0，x∈R}</li>                                    <li style=""width:100%;"">D.{x|x2≤0}</li>                        <li class=""cl"">                    </ul><li style=""width:100%;"">A.{x|x+3=3}</li><li style=""width:100%;"">B.{（x，y）|y2=-x2，x，y∈R}</li><li style=""width:100%;"">C.{x|x2-x+1=0，x∈R}</li><li style=""width:100%;"">D.{x|x2≤0}</li><li class=""cl""><div class=""cl""></div>",第1章 集合与函数概念,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/737670.html,            题目:            圆C：（x-1）2+（y-2）2=25，被直线l：（2m+1）x+（m+1）y-7m-4=0截得的弦长最短时m的值等于34．        ,2、直线、圆的位置关系,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""见解析""><span class=""uc_q_object"">圆C：（x-1）</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""uc_q_object"">+（y-2）</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""uc_q_object"">=25，被直线l：（2m+1）x+（m+1）y-7m-4=0截得的弦长最短时m的值等于</span><div class=""uc_q_object uc_q_fraction ucqo_g_solution ucqo_g_blank""><div class=""ucqo_frac""><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">3</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table></div></div><span class=""uc_q_object"">．</span></div><span class=""uc_q_object"">圆C：（x-1）</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""ucqo_script_front""></span><sup>2</sup><span class=""uc_q_object"">+（y-2）</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sup>2</sup></span><span class=""ucqo_script_front""></span><sup>2</sup><span class=""uc_q_object"">=25，被直线l：（2m+1）x+（m+1）y-7m-4=0截得的弦长最短时m的值等于</span><div class=""uc_q_object uc_q_fraction ucqo_g_solution ucqo_g_blank""><div class=""ucqo_frac""><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">3</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table></div></div><div class=""ucqo_frac""><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">3</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table></div><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator"">3</td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr></table><tr><td class=""ucqo_frac_numerator"">3</td></tr><td class=""ucqo_frac_numerator"">3</td><tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td></tr><td class=""ucqo_frac_denominator ucqo_g_border"">4</td><span class=""uc_q_object"">．</span>",第4章 圆与方程,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/733692.html,            题目:            k取任意实数时，直线2（k-1）x+（k-6）y-k-4=0恒过点P，则点P的坐标为_____ ．        ,3、直线的交点坐标与距离公式,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""（1，-1）""><span class=""uc_q_object"">k取任意实数时，直线2（k-1）x+（k-6）y-k-4=0恒过点P，则点P的坐标为</span><u>_____</u> <span class=""uc_q_object"">．</span></div><span class=""uc_q_object"">k取任意实数时，直线2（k-1）x+（k-6）y-k-4=0恒过点P，则点P的坐标为</span><u>_____</u><span class=""uc_q_object"">．</span>",第3章 直线与方程,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/730760.html,            题目:            若A(4，2)，B(-6，4)，C(x，-145)三点共线，则实数x=_____ ．        ,1、直线的倾斜角与斜率,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""28""><span class=""uc_q_object"">若</span><div class=""uc_q_object uc_q_fraction""><div class=""ucqo_frac""><span class=""ucqo_frac_integer""><span class=""uc_q_object"">A(4，2)，B(-6，4)，C(x，-</span></span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator""><span class=""uc_q_object"">14</span></td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border""><span class=""uc_q_object"">5</span></td></tr></table></div></div><span class=""uc_q_object"">)三点共线，则实数x=</span><u>_____</u> <span class=""uc_q_object"">．</span></div><span class=""uc_q_object"">若</span><div class=""uc_q_object uc_q_fraction""><div class=""ucqo_frac""><span class=""ucqo_frac_integer""><span class=""uc_q_object"">A(4，2)，B(-6，4)，C(x，-</span></span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator""><span class=""uc_q_object"">14</span></td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border""><span class=""uc_q_object"">5</span></td></tr></table></div></div><div class=""ucqo_frac""><span class=""ucqo_frac_integer""><span class=""uc_q_object"">A(4，2)，B(-6，4)，C(x，-</span></span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator""><span class=""uc_q_object"">14</span></td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border""><span class=""uc_q_object"">5</span></td></tr></table></div><span class=""ucqo_frac_integer""><span class=""uc_q_object"">A(4，2)，B(-6，4)，C(x，-</span></span><span class=""uc_q_object"">A(4，2)，B(-6，4)，C(x，-</span><table class=""ucqo_frac_frac""><tr><td class=""ucqo_frac_numerator""><span class=""uc_q_object"">14</span></td></tr><tr><td class=""ucqo_frac_denominator ucqo_g_border""><span class=""uc_q_object"">5</span></td></tr></table><tr><td class=""ucqo_frac_numerator""><span class=""uc_q_object"">14</span></td></tr><td class=""ucqo_frac_numerator""><span class=""uc_q_object"">14</span></td><span class=""uc_q_object"">14</span><tr><td class=""ucqo_frac_denominator ucqo_g_border""><span class=""uc_q_object"">5</span></td></tr><td class=""ucqo_frac_denominator ucqo_g_border""><span class=""uc_q_object"">5</span></td><span class=""uc_q_object"">5</span><span class=""uc_q_object"">)三点共线，则实数x=</span><u>_____</u><span class=""uc_q_object"">．</span>",第3章 直线与方程,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/732228.html,            题目:            经过点A（3，2），且与直线4x+y-2=0平行的直线的斜截式方程为_____ ．        ,2、直线的方程,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""y=-4x+14""><span class=""uc_q_object"">经过点A（3，2），且与直线4x+y-2=0平行的直线的斜截式方程为</span><u>_____</u> <span class=""uc_q_object"">．</span></div><span class=""uc_q_object"">经过点A（3，2），且与直线4x+y-2=0平行的直线的斜截式方程为</span><u>_____</u><span class=""uc_q_object"">．</span>",第3章 直线与方程,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/725537.html,            题目:            对于平面 α，β和直线 m，试用“⊥”和“∥”构造条件_____ 使之能推出 m⊥β        ,3、直线、平面垂直的判定及其性质,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""m⊥α，α∥β""><span class=""uc_q_object"">对于平面 α，β和直线 m，试用“⊥”和“∥”构造条件</span><u>_____</u> <span class=""uc_q_object"">使之能推出 m⊥β</span></div><span class=""uc_q_object"">对于平面 α，β和直线 m，试用“⊥”和“∥”构造条件</span><u>_____</u><span class=""uc_q_object"">使之能推出 m⊥β</span>",第2章 点、直线、平面之间的位置关系,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
http://www.tiku.cn/q/722996.html,            题目:            如图，在正方体ABCD-A1B1C1D1中，E，F，G，H，M分别是棱AD，DD1，D1A1，A1A，AB的中点，点N在四边形EFGH的四边及其内部运动，则当N只需满足条件_____ 时，就有MN⊥A1C1；当N只需满足条件_____ 时，就有MN∥平面B1D1C．        ,2、直线、平面平行的判定及其性质,"<span class=""detailq"">题目:</span><div class=""per_answer"" data-answer=""点N在EG上,点N在EH上""><img src=""http://tiku.cn/Public/Uploads/img/20141229/201412292124205505.png""><span style=""clear:both;"" class=""clearfix""></span><span class=""uc_q_object"">如图，在正方体ABCD-A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">B</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">C</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">D</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">中，E，F，G，H，M分别是棱AD，DD</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">，D</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">，A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">A，AB的中点，点N在四边形EFGH的四边及其内部运动，则当N只需满足条件</span><u>_____</u> <span class=""uc_q_object"">时，就有MN⊥A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">C</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">；当N只需满足条件</span><u>_____</u> <span class=""uc_q_object"">时，就有MN∥平面B</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">D</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""uc_q_object"">C．</span></div><img src=""http://tiku.cn/Public/Uploads/img/20141229/201412292124205505.png""><span style=""clear:both;"" class=""clearfix""></span><span class=""uc_q_object"">如图，在正方体ABCD-A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">B</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">C</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">D</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">中，E，F，G，H，M分别是棱AD，DD</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">，D</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">，A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">A，AB的中点，点N在四边形EFGH的四边及其内部运动，则当N只需满足条件</span><u>_____</u><span class=""uc_q_object"">时，就有MN⊥A</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">C</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">；当N只需满足条件</span><u>_____</u><span class=""uc_q_object"">时，就有MN∥平面B</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">D</span><span class=""uc_q_object ucqo_script""><span class=""ucqo_script_front""></span><sub>1</sub></span><span class=""ucqo_script_front""></span><sub>1</sub><span class=""uc_q_object"">C．</span>",第2章 点、直线、平面之间的位置关系,<em>答案：</em><em>解析：</em>,                答案：                                            解析：                            
